cnic,name,name_clean,canonical_cnic,cluster_id
35204-4411580-9,Farhan Iqbal,farhan iqbal,35204-4411580-9,30
35202-8642970-2,Salman Ali,salman ali,35202-8642970-2,201
35202-7472399-8,Junaid Dar,junaid dar,35202-7472399-8,265
35207-8797937-4,Rizwan Qureshi,rizwan qureshi,35207-8797937-4,177
35201-5487584-5,Umar Iqbal,umar iqbal,35201-5487584-5,315
35204-9570062-8,Muhammad Qureshi,muhammad qureshi,35204-9570062-8,328
35207-1772941-5,Zain Dar,zain dar,35207-1772941-5,91
35206-6671092-1,Umar Ahmed,umar ahmed,35206-6671092-1,118
35205-8565786-7,Faisal Raza,faisal raza,35205-8565786-7,386
35207-7367584-3,Faisal Akhtar,faisal akhtar,35207-7367584-3,303
35208-9745466-9,Zain Mahmood,zain mahmood,35208-9745466-9,152
35203-5567075-8,Faisal Mehmood,faisal mehmood,35203-5567075-8,228
35206-1594321-6,Hamza Mehmood,hamza mehmood,35206-1594321-6,306
35205-7820583-4,Tariq Ahmed,tariq ahmed,35205-7820583-4,57
35201-3769792-1,Zain Ahmed,zain ahmed,35201-3769792-1,173
35203-6261736-8,Tariq Zafar,tariq zafar,35203-6261736-8,333
35204-4003202-2,Asad Khan,asad khan,35204-4003202-2,84
35206-8159653-6,Salman Sheikh,salman sheikh,35206-8159653-6,54
35208-3401625-9,Ahmed Mahmood,ahmed mahmood,35208-3401625-9,168
35206-7316303-6,Bilal Zafar,bilal zafar,35206-7316303-6,369
35204-2837431-8,Asad Sheikh,asad sheikh,35204-2837431-8,140
35208-5536199-6,Umar Zafar,umar zafar,35208-5536199-6,302
35205-7324961-6,Yasir Butt,yasir butt,35205-7324961-6,3
35201-4807132-5,Bilal Mahmood,bilal mahmood,35201-4807132-5,363
35206-7445207-9,Tariq Bajwa,tariq bajwa,35206-7445207-9,380
35201-9740315-5,Hamza Raza,hamza raza,35201-9740315-5,349
35209-6978144-3,Osman Mehmood,osman mehmood,35209-6978144-3,313
35208-1010297-9,Abdullah Akhtar,abdullah akhtar,35208-1010297-9,227
35205-9444088-5,Hamza Mahmood,hamza mahmood,35205-9444088-5,322
35201-9429230-2,Abdullah Akhtar,abdullah akhtar,35208-1010297-9,227
35207-9622814-3,Farhan Khan,farhan khan,35207-9622814-3,26
35207-9630424-7,Umar Akhtar,umar akhtar,35207-9630424-7,374
35202-3432098-8,Bilal Khan,bilal khan,35202-3432098-8,72
35203-2954014-5,Hamza Mehmood,hamza mehmood,35206-1594321-6,306
35206-2203581-6,Farhan Nawaz,farhan nawaz,35206-2203581-6,46
35206-2395762-9,Tariq Raza,tariq raza,35206-2395762-9,385
35205-3521740-7,Junaid Khan,junaid khan,35205-3521740-7,180
35201-9494571-2,Waqas Iqbal,waqas iqbal,35201-9494571-2,101
35207-3018980-3,Noman Akhtar,noman akhtar,35207-3018980-3,89
35202-4762295-2,Rizwan Butt,rizwan butt,35202-4762295-2,8
35208-7468539-8,Salman Ahmed,salman ahmed,35208-7468539-8,130
35207-7476368-1,Waqas Malik,waqas malik,35207-7476368-1,110
35206-4060005-8,Abdullah Iqbal,abdullah iqbal,35206-4060005-8,172
35207-4775446-8,Hamza Sheikh,hamza sheikh,35207-4775446-8,49
35203-2594508-8,Ali Dar,ali dar,35203-2594508-8,338
35202-7054780-5,Waqas Nawaz,waqas nawaz,35202-7054780-5,105
35209-7624659-7,Muhammad Bajwa,muhammad bajwa,35209-7624659-7,402
35203-6885593-5,Junaid Nawaz,junaid nawaz,35203-6885593-5,311
35204-6385913-8,Zain Iqbal,zain iqbal,35204-6385913-8,162
35202-8184867-9,Rizwan Akhtar,rizwan akhtar,35202-8184867-9,241
35208-4693276-1,Bilal Mahmood,bilal mahmood,35201-4807132-5,363
35205-6122104-7,Yasir Malik,yasir malik,35205-6122104-7,276
35201-6300501-8,Umar Malik,umar malik,35201-6300501-8,388
35202-5489129-4,Abdullah Qureshi,abdullah qureshi,35202-5489129-4,206
35208-1668322-8,Zain Iqbal,zain iqbal,35204-6385913-8,162
35207-4040640-6,Bilal Dar,bilal dar,35207-4040640-6,39
35208-8588481-6,Ali Mehmood,ali mehmood,35208-8588481-6,341
35207-6968880-8,Umar Khan,umar khan,35207-6968880-8,83
35209-9336310-5,Shahzaib Butt,shahzaib butt,35209-9336310-5,160
35202-8223959-9,Abdullah Mahmood,abdullah mahmood,35202-8223959-9,165
35201-2364000-6,Faisal Raza,faisal raza,35201-2364000-6,387
35208-1847795-2,Noman Ahmed,noman ahmed,35208-1847795-2,47
35205-8970862-3,Abdullah Butt,abdullah butt,35205-8970862-3,22
35206-2594763-3,Ahmed Mahmood,ahmed mahmood,35208-3401625-9,168
35209-3777132-2,Abdullah Ahmed,abdullah ahmed,35209-3777132-2,296
35208-7890972-2,Junaid Ahmed,junaid ahmed,35208-7890972-2,288
35206-4004334-2,Ahmed Butt,ahmed butt,35206-4004334-2,59
35204-2511230-1,Faisal Raza,faisal raza,35201-2364000-6,387
35208-4930536-1,Yasir Mehmood,yasir mehmood,35208-4930536-1,157
35208-2802462-5,Shahzaib Mahmood,shahzaib mahmood,35208-2802462-5,154
35204-3706130-9,Salman Iqbal,salman iqbal,35204-3706130-9,215
35204-3632125-8,Noman Malik,noman malik,35204-3632125-8,167
35204-4186015-5,Shahzaib Ahmed,shahzaib ahmed,35204-4186015-5,170
35207-2848757-6,Muhammad Zafar,muhammad zafar,35207-2848757-6,178
35208-6388573-4,Rizwan Bajwa,rizwan bajwa,35208-6388573-4,13
35208-7855114-2,Zain Mehmood,zain mehmood,35208-7855114-2,233
35203-3294818-2,Noman Mahmood,noman mahmood,35203-3294818-2,249
35206-9182416-4,Ali Iqbal,ali iqbal,35206-9182416-4,310
35202-9409875-6,Zain Iqbal,zain iqbal,35204-6385913-8,162
35209-3930591-3,Junaid Mahmood,junaid mahmood,35209-3930591-3,266
35204-7376421-9,Salman Raza,salman raza,35204-7376421-9,272
35203-9219582-3,Hamza Ahmed,hamza ahmed,35203-9219582-3,61
35201-3985004-5,Tariq Malik,tariq malik,35201-3985004-5,399
35206-2597970-1,Salman Butt,salman butt,35206-2597970-1,1
35203-4442181-6,Yasir Malik,yasir malik,35205-6122104-7,276
35201-6676973-7,Shahzaib Sheikh,shahzaib sheikh,35201-6676973-7,150
35209-2200408-8,Noman Nawaz,noman nawaz,35209-2200408-8,44
35203-2476080-5,Waqas Ali,waqas ali,35203-2476080-5,28
35208-1745560-8,Ahmed Iqbal,ahmed iqbal,35208-1745560-8,298
35207-8419320-8,Faisal Khan,faisal khan,35207-8419320-8,76
35203-9462280-2,Ali Sheikh,ali sheikh,35203-9462280-2,134
35206-2192140-4,Waqas Mahmood,waqas mahmood,35206-2192140-4,69
35207-9788496-2,Bilal Akhtar,bilal akhtar,35207-9788496-2,210
35201-9543184-5,Hamza Ali,hamza ali,35201-9543184-5,343
35202-1929729-5,Waqas Qureshi,waqas qureshi,35202-1929729-5,99
35204-3689783-3,Muhammad Akhtar,muhammad akhtar,35204-3689783-3,337
35209-6933509-7,Junaid Qureshi,junaid qureshi,35209-6933509-7,129
35208-9868198-3,Faisal Zafar,faisal zafar,35208-9868198-3,392
35205-3463685-8,Yasir Akhtar,yasir akhtar,35205-3463685-8,73
35209-1282637-1,Farhan Dar,farhan dar,35209-1282637-1,36
35203-7748012-7,Shahzaib Akhtar,shahzaib akhtar,35203-7748012-7,176
35209-7924159-5,Hamza Qureshi,hamza qureshi,35209-7924159-5,93
35209-1166325-3,Ali Akhtar,ali akhtar,35209-1166325-3,193
35207-3401790-3,Asad Sheikh,asad sheikh,35207-3401790-3,139
35202-1874886-8,Bilal Dar,bilal dar,35207-4040640-6,39
35204-2853279-5,Umar Zafar,umar zafar,35208-5536199-6,302
35203-7622086-8,Yasir Raza,yasir raza,35203-7622086-8,81
35205-9612243-8,Ahmed Butt,ahmed butt,35206-4004334-2,59
35209-7806055-2,Noman Dar,noman dar,35209-7806055-2,48
35206-5083037-9,Muhammad Raza,muhammad raza,35206-5083037-9,401
35206-4037604-9,Ahmed Akhtar,ahmed akhtar,35206-4037604-9,231
35207-1793439-2,Osman Nawaz,osman nawaz,35207-1793439-2,214
35207-3019476-1,Faisal Mehmood,faisal mehmood,35203-5567075-8,228
35204-5971420-8,Bilal Qureshi,bilal qureshi,35204-5971420-8,164
35205-2475811-9,Zain Sheikh,zain sheikh,35205-2475811-9,144
35208-3760716-4,Ahmed Zafar,ahmed zafar,35208-3760716-4,189
35201-2138980-2,Faisal Qureshi,faisal qureshi,35201-2138980-2,280
35201-7266141-3,Asad Ali,asad ali,35201-7266141-3,95
35209-4795850-9,Salman Nawaz,salman nawaz,35209-4795850-9,258
35204-8797550-8,Faisal Khan,faisal khan,35207-8419320-8,76
35203-9690569-5,Salman Zafar,salman zafar,35203-9690569-5,128
35208-3118133-4,Waqas Iqbal,waqas iqbal,35201-9494571-2,101
35201-4857509-1,Asad Mahmood,asad mahmood,35201-4857509-1,360
35206-7451239-7,Farhan Khan,farhan khan,35206-7451239-7,25
35205-2013312-8,Asad Nawaz,asad nawaz,35205-2013312-8,102
35206-6701042-4,Abdullah Khan,abdullah khan,35206-6701042-4,86
35208-5858766-5,Noman Khan,noman khan,35208-5858766-5,7
35207-7975179-7,Shahzaib Raza,shahzaib raza,35207-7975179-7,192
