cnic,full_name,city,vehicle_score,utility_score,property_score,travel_score,tax_gap_score,lifestyle_index,ml_anomaly_score,tax_deviation_score,flagged,audit_trail
35209-3339667-3,Hamza Raza,Multan,60,100,100,100,100,92.0,100.0,96.4,1,"Non-Filer (No active tax filings recorded) | Owns 1 vehicle(s) (Max engine CC: 1800cc) | Monthly utility consumption: Max bill PKR 216,960 | Owns 3 property/properties (Total estimated value: PKR 354,358,975) | International travels logged: 1 flight(s) (1 Business/First class) | Network Risk: Shares registered address with 265 other individuals | Community Risk: Shares property space with 78 unregistered non-filers"
35205-9385586-6,Rizwan Zafar,Lahore,60,100,100,100,100,92.0,95.73753772746761,94.06,1,"Non-Filer (No active tax filings recorded) | Owns 2 vehicle(s) (Max engine CC: 1800cc) | Monthly utility consumption: Max bill PKR 434,970 | Owns 2 property/properties (Total estimated value: PKR 214,303,978) | International travels logged: 1 flight(s) (1 Business/First class) | Entity Resolution Warning: 1 asset records registered under conflicting name variations (Benami risk) | Network Risk: Shares registered address with 265 other individuals | Community Risk: Shares property space with 78 unregistered non-filers"
35207-8972836-2,Zain Mehmood,Multan,60,100,100,100,100,92.0,95.73753772746761,94.06,1,"Non-Filer (No active tax filings recorded) | Owns 2 vehicle(s) (Max engine CC: 1800cc) | Monthly utility consumption: Max bill PKR 181,143 | Owns 2 property/properties (Total estimated value: PKR 233,978,953) | International travels logged: 1 flight(s) (1 Business/First class) | Entity Resolution Warning: 1 asset records registered under conflicting name variations (Benami risk) | Network Risk: Shares registered address with 265 other individuals | Community Risk: Shares property space with 78 unregistered non-filers"
35203-8625804-4,Ali Ahmed,Lahore,100,100,100,100,100,100.0,87.8821924974632,93.34,1,"Non-Filer (No active tax filings recorded) | Owns 1 vehicle(s) (Max engine CC: 2000cc) | Monthly utility consumption: Max bill PKR 352,369 | Owns 2 property/properties (Total estimated value: PKR 217,303,894) | International travels logged: 1 flight(s) (1 Business/First class) | Entity Resolution Warning: 2 asset records registered under conflicting name variations (Benami risk) | Network Risk: Shares registered address with 246 other individuals | Community Risk: Shares property space with 75 unregistered non-filers"
35203-2476080-5,Waqas Ali,Rawalpindi,60,100,100,100,100,92.0,94.42660183028501,93.33,1,"Non-Filer (No active tax filings recorded) | Owns 1 vehicle(s) (Max engine CC: 1800cc) | Monthly utility consumption: Max bill PKR 288,286 | Owns 3 property/properties (Total estimated value: PKR 201,813,891) | International travels logged: 1 flight(s) (1 Business/First class) | Network Risk: Shares registered address with 270 other individuals | Community Risk: Shares property space with 90 unregistered non-filers"
35203-6261736-8,Tariq Zafar,Islamabad,60,100,100,100,100,92.0,94.24861629375879,93.24,1,"Non-Filer (No active tax filings recorded) | Owns 1 vehicle(s) (Max engine CC: 1800cc) | Monthly utility consumption: Max bill PKR 453,192 | Owns 4 property/properties (Total estimated value: PKR 362,139,034) | International travels logged: 1 flight(s) (1 Business/First class) | Entity Resolution Warning: 7 asset records registered under conflicting name variations (Benami risk) | Network Risk: Shares registered address with 281 other individuals | Community Risk: Shares property space with 90 unregistered non-filers"
35206-1719143-5,Salman Raza,Lahore,60,100,100,100,80,88.0,97.22924582510689,93.08,1,"Filer with declared annual income PKR 350,484 | Owns 2 vehicle(s) (Max engine CC: 1800cc) | Monthly utility consumption: Max bill PKR 311,834 | Owns 2 property/properties (Total estimated value: PKR 84,778,635) | International travels logged: 1 flight(s) (1 Business/First class) | Entity Resolution Warning: 1 asset records registered under conflicting name variations (Benami risk) | Network Risk: Shares registered address with 265 other individuals | Community Risk: Shares property space with 79 unregistered non-filers"
35209-3828295-5,Noman Raza,Islamabad,60,100,100,100,80,88.0,96.91234227835257,92.9,1,"Filer with declared annual income PKR 323,641 | Owns 1 vehicle(s) (Max engine CC: 1800cc) | Monthly utility consumption: Max bill PKR 355,019 | Owns 2 property/properties (Total estimated value: PKR 101,024,278) | International travels logged: 1 flight(s) (1 Business/First class) | Entity Resolution Warning: 4 asset records registered under conflicting name variations (Benami risk) | Network Risk: Shares registered address with 265 other individuals | Community Risk: Shares property space with 79 unregistered non-filers"
35208-3401625-9,Ahmed Mahmood,Rawalpindi,60,100,100,100,100,92.0,93.00624382220255,92.55,1,"Non-Filer (No active tax filings recorded) | Owns 1 vehicle(s) (Max engine CC: 1800cc) | Monthly utility consumption: Max bill PKR 358,823 | Owns 4 property/properties (Total estimated value: PKR 293,423,639) | International travels logged: 1 flight(s) (1 Business/First class) | Network Risk: Shares registered address with 276 other individuals | Community Risk: Shares property space with 79 unregistered non-filers"
35209-8446223-6,Rizwan Dar,Islamabad,60,100,100,100,100,92.0,92.39804657872183,92.22,1,"Non-Filer (No active tax filings recorded) | Owns 1 vehicle(s) (Max engine CC: 1800cc) | Monthly utility consumption: Max bill PKR 172,274 | Owns 2 property/properties (Total estimated value: PKR 193,620,364) | International travels logged: 1 flight(s) (1 Business/First class) | Entity Resolution Warning: 1 asset records registered under conflicting name variations (Benami risk) | Network Risk: Shares registered address with 263 other individuals | Community Risk: Shares property space with 90 unregistered non-filers"
35208-2317029-9,Hamza Ahmed,Lahore,60,100,100,100,80,88.0,95.39000446345844,92.06,1,"Filer with declared annual income PKR 313,041 | Owns 1 vehicle(s) (Max engine CC: 1800cc) | Monthly utility consumption: Max bill PKR 169,546 | Owns 3 property/properties (Total estimated value: PKR 213,797,824) | International travels logged: 1 flight(s) (1 Business/First class) | Network Risk: Shares registered address with 276 other individuals | Community Risk: Shares property space with 80 unregistered non-filers"
